altitude,velocity,angle,time,error
0,140,31,12.779999999999772,1.9769816883119802
100,140,31,12.789999999999772,2.060555231192666
200,140,30,12.469999999999779,5.716504816248062
300,140,30,12.489999999999778,1.1071739334897757
400,140,30,12.499999999999778,2.8437484420785495
500,140,29,12.169999999999785,6.796553140279684
600,140,29,12.189999999999785,2.256553561445344
700,140,29,12.199999999999784,1.601382858390025
800,140,28,11.869999999999791,9.281431011622772
900,130,41,15.21999999999972,9.743834754883665
