altitude,velocity,angle,time,error
0,160,31,14.14533335104532,1.9083475503514364
100,160,30,13.799102049302963,5.162878993019376
200,160,30,13.820184852269055,0.7501893374355859
300,160,29,13.465894809227159,8.15907515044455
400,160,29,13.485856998252954,2.3998301181277384
500,160,29,13.505705251136057,3.352007284324145
600,150,39,16.283381172902953,7.573717345902196
700,150,37,15.663907208761247,9.065456100421216
800,150,36,15.356918120456449,8.974385231086444
900,150,36,15.379294759359619,3.2976895026670263
